日期,買賣權別,身份別,未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2019/6/17,CALL,投信,-235,-25
2019/6/17,CALL,外資及陸資,33024,19102
2019/6/17,PUT,自營商,13726,175293
2019/6/17,PUT,投信,1123,-220
2019/6/17,PUT,外資及陸資,7496,-143293
2019/6/18,CALL,自營商,-48778,28609
2019/6/18,CALL,投信,-233,-126
2019/6/18,CALL,外資及陸資,33483,25696
2019/6/18,PUT,自營商,12617,171823
2019/6/18,PUT,投信,1124,-471
2019/6/18,PUT,外資及陸資,14477,-143580
2019/6/19,CALL,自營商,-7309,2865
2019/6/19,CALL,投信,-228,-747
2019/6/19,CALL,外資及陸資,18375,75358
2019/6/19,PUT,自營商,2718,-29471
2019/6/19,PUT,投信,-225,-302
2019/6/19,PUT,外資及陸資,-3648,-7549
2019/6/20,CALL,自營商,-16131,-10789
2019/6/20,CALL,投信,-228,-735
2019/6/20,CALL,外資及陸資,13792,54677
2019/6/20,PUT,自營商,6293,-12130
2019/6/20,PUT,投信,-225,-224
2019/6/20,PUT,外資及陸資,3049,5470
2019/6/21,CALL,自營商,-21852,-21527
2019/6/21,CALL,投信,-228,-751
2019/6/21,CALL,外資及陸資,14102,67818
2019/6/21,PUT,自營商,6455,-14159
2019/6/21,PUT,投信,-225,-255
2019/6/21,PUT,外資及陸資,3969,11167
2019/6/24,CALL,自營商,-20581,-16328
2019/6/24,CALL,投信,-228,-842
2019/6/24,CALL,外資及陸資,17592,76566
2019/6/24,PUT,自營商,7347,5511
2019/6/24,PUT,投信,-225,-180
2019/6/24,PUT,外資及陸資,4635,16474
2019/6/25,CALL,自營商,-25926,-30351
2019/6/25,CALL,投信,-228,-584
2019/6/25,CALL,外資及陸資,11929,74779
2019/6/25,PUT,自營商,13350,2028
2019/6/25,PUT,投信,-225,-236
2019/6/25,PUT,外資及陸資,8519,41221
2019/6/26,CALL,自營商,-24316,-66690
2019/6/26,CALL,投信,-230,-518
2019/6/26,CALL,外資及陸資,7445,72044
2019/6/26,PUT,自營商,18743,10993
2019/6/26,PUT,投信,-229,-434
2019/6/26,PUT,外資及陸資,-3247,29640
2019/6/27,CALL,自營商,-20852,-68216
2019/6/27,CALL,投信,-230,-803
2019/6/27,CALL,外資及陸資,20677,114805
2019/6/27,PUT,自營商,16545,-34415
2019/6/27,PUT,投信,321,2166
2019/6/27,PUT,外資及陸資,-5257,56024
2019/6/28,CALL,自營商,-32407,-92573
2019/6/28,CALL,投信,-230,-666
2019/6/28,CALL,外資及陸資,19649,87366
2019/6/28,PUT,自營商,25557,4702
2019/6/28,PUT,投信,821,4292
2019/6/28,PUT,外資及陸資,-3397,64917
